IP 地址,已发?已接?丢包?平均延迟,下载速度 (MB/s),,,
188.114.98.221,4,4,0,205.77,25.56
188.114.99.91,4,4,0,209.49,25.08
188.114.98.238,4,4,0,204.97,21.05
188.114.96.77,4,4,0,212.78,20.89
188.114.99.90,4,4,0,208.26,17.26
188.114.99.112,4,4,0,212.88,16.3
188.114.99.45,4,4,0,211.38,16.07
188.114.96.124,4,4,0,209.66,15.94
188.114.96.90,4,4,0,211.31,11.12
188.114.99.15,4,4,0,207.3,10.39
188.114.97.6,4,4,0,203.93,29.37
188.114.96.14,4,4,0,195.75,23.76
188.114.97.36,4,4,0,206.38,20.11
188.114.96.52,4,4,0,206.34,20.03
188.114.96.163,4,4,0,205.48,14.52
